,Name,Nicknames
99,Abdur Rashid,"Abd al-Rashid,Abd ar-Rashid"
100,Abdus Salam,"Abd al-Salam,Abd as-Salam,Abdeslam,Abdessalam"
101,Abduweli,
102,Abe,"Abraham,Aldert,Bram"
103,Abeba,
104,Abednego,
105,Abegail,"Abbey,Abbi,Abbie,Abby,Abi,Abigail,Abigayle,Gail,Gale,Gayla,Gayle"
106,Ábel,
107,Abel,
108,Abele,
109,Abelone,Lone
110,Abena,
111,Abene,
112,Abeni,
113,Abenner,
114,Aberash,
115,Abessa,
116,Abessalom,
117,Abha,
118,Abhay,
119,Abhijeet,Abhijit
120,Abhijit,Abhijeet
121,Abhilash,
122,Abhilasha,
123,Abhinav,
124,Abhishek,
125,Abi,"Abbey,Abbi,Abbie,Abby,Abigail,Abigayle,Gail,Gale,Gayla,Gayle"
126,Abia,
127,Abiah,Abijah
128,Abiathar,
129,Abidan,
130,Abidemi,
131,Abiel,
132,Abigaia,
133,Abigaíl,
134,Abigaïl,
135,Abigail,"Abbey,Abbi,Abbie,Abby,Abi,Abigayle,Gail,Gale,Gayla,Gayle"
136,Abigayle,"Abbey,Abbi,Abbie,Abby,Abi,Abigail,Gail,Gale,Gayla,Gayle"
137,Abigél,
138,Abihu,
139,Abijah,Abiah
140,Abilene,
141,Abílio,
142,Abilio,
143,Abimael,
144,Abimbola,
145,Abimelech,
146,Abiodun,
147,Abioye,
148,Abiram,
149,Abisai,
150,Abishag,
151,Abishai,
152,Abital,
153,'Abla,
154,Abner,
155,Abolfazl,
156,Abosede,"Bose,Bosede"
157,Aboubacar,Boubacar
158,Abraam,Abram
159,Abraão,
160,Ábrahám,
161,Abraham,"Abe,Avi,Avraham,Braam,Bram"
162,Abram,Abraam
163,Abramo,
164,Abrar,
165,Abrasha,Abram
166,Abril,
167,Absalom,
168,Abu,
169,Abu al-Fadl,Abul-Fazl
170,Abubakar,
171,Abu Bakr,
172,Abul-Fazl,Abu al-Fadl
173,Aca,"Ace,Aco,Aleksandar,Saša,Sasho,Saško,Sašo"
174,Acacia,
175,Acacius,Akakios
176,Acantha,Akantha
177,Ace,"Aca,Aco,Aleksandar,Sasho,Saško,Sašo"
178,Achaab,
179,Achab,Ahab
180,Achaicus,
181,Achaikos,
182,Achan,
183,Achard,
184,'Ach'av,
185,Acheloios,Achelous
186,Achelous,Acheloios
187,Achieng,
188,Achille,
189,Achilleas,
190,Achilles,Achilleus
191,Achilleus,Achilles
192,Achim,"Jo,Joachim,Jochen,Jockel"
193,Achinoam,
194,Acke,Axel
195,Aco,"Aca,Ace,Aleksandar,Saša,Sasho,Saško,Sašo"
196,Ad,"Adriaan,Arie,Aris,Arjan"
197,Ada,"Aada,Adalheidis,Adaline,Adalyn,Adalynn,Addilyn,Adela,Adelaida,Adelais,Adelajda,Adelheid,Adelia,Adelina,Adeline,Adella,Adelyn,Adelynn,Alda"
198,Adad,
199,Adad-Nirari,
200,Adaeze,
201,Adah,
202,Adair,
203,Adalberht,"Adalbert,Albert,Albertus"
204,Adalbern,
205,Adalbert,"Adalberht,Adelbert,Albert,Albertus,Albrecht"
206,Adalberto,Alberto
207,Adalet,
208,Adalfarus,
209,Adalfuns,Alfons
210,Adalgard,
211,Adalhard,Alard
212,Adalheidis,"Ada,Adelais"
213,Adalia,Adlai
214,Adaline,"Ada,Adalyn,Adalynn,Addie,Addilyn,Addy,Adeline,Adelyn,Adelynn,Aline"
215,Adallindis,
216,Adalwin,Alwin
217,Adalwolf,"Adolf,Adolphus"
218,'Adalya',Adlai
219,Adalyn,"Adaline,Adalynn,Addie,Addilyn,Addy,Adeline,Adelyn,Adelynn,Alene,Aline"
220,Adalynn,"Adaline,Adalyn,Addie,Addilyn,Addy,Adeline,Adelyn,Adelynn,Alene,Aline"
221,Ádám,
222,Adam,
223,Adamina,
224,Adamo,
225,Adamou,
226,Adamu,
227,Adán,
228,Adanna,
229,Adannaya,
230,Adão,
231,Adara,
232,Adde,Aldert
233,Addie,"Adaline,Adalyn,Adalynn,Addilyn,Addison,Addy,Addyson,Adela,Adelaide,Adelia,Adeline,Adella,Adelyn,Adelynn,Alene,Aline,Della"
234,Addilyn,"Adaline,Adalyn,Adalynn,Addie,Addy,Adeline,Adelyn,Adelynn,Alene,Aline"
235,Addison,"Addie,Addy,Addyson"
236,Addy,"Adaline,Adalyn,Adalynn,Addie,Addilyn,Addison,Addyson,Adela,Adelaide,Adelia,Adeline,Adella,Adelyn,Adelynn,Alene,Aline,Della"
237,Addyson,"Addie,Addison,Addy"
238,Ade,"Adebola,Adebowale,Adegoke,Adetokunbo"
239,Adebayo,
240,Adebola,Ade
241,Adebowale,Ade
242,Adedayo,
243,Adegoke,Ade
244,Adél,
245,Adel,Adil
246,Adéla,
247,Adela,"Ada,Adelia,Adelina,Adelita,Adella,Alda,Delia,Della"
248,Adelaida,Ada
249,Adélaïde,
250,Adelaide,"Addie,Addy,Della"
251,Adelais,"Ada,Adalheidis"
252,Adelajda,Ada
253,Adélard,
254,Adelardo,
255,Adelbert,"Adalbert,Albert,Albrecht,Elbert"
256,Adèle,Adélie
257,Adele,Adelle
258,Adelė,
259,Adelheid,"Ada,Aleid,Aleida,Alida,Elke,Heida,Heide,Heidi"
260,Adelia,"Adela,Adelita,Adella,Delia,Della"
261,Adélie,Adèle
262,Adelina,"Ada,Adela,Alda,Alina,Aline"
263,Adeline,"Ada,Adaline,Adalyn,Adalynn,Addie,Addilyn,Addy,Adelyn,Adelynn,Alene,Aline,Lina,Line,Lyna"
264,Adelita,"Adela,Adelia,Adelina"
265,Adella,"Adela,Adelia,Delia,Della"
266,Adelle,Adele
267,Adelma,
268,Adelmar,"Almir,Almiro"
269,Adelmo,
270,Adelyn,"Adaline,Adalyn,Adalynn,Addie,Addilyn,Addy,Adeline,Adelynn,Alene,Aline"
271,Adelynn,"Adaline,Adalyn,Adalynn,Addie,Addilyn,Addy,Adeline,Adelyn,Alene,Aline"
272,Adem,
273,Ademar,Ademir
274,Ademaro,
275,Ademir,Ademar
276,Aden,"Aidan,Aiden,Aydan,Ayden"
277,Adena,
278,Adenike,
279,Adeodatus,Deodatus
280,Aderyn,
281,Adetokunbo,Ade
282,Ádhamh,
283,Adhara,
284,Adhelm,
285,Adhiambo,
286,Adi,"Adolf,Adrian"
287,Adil,Adel
288,Adila,
289,Adile,
290,Adilet,
291,Adin,
292,Adina,
293,'Adinah,
294,Adino,
295,Adir,
296,Adisa,
297,Aditi,
298,Aditya,
299,Adjoa,Adwoa
300,Adlai,"Adalia,'Adalya'"
301,Admir,
302,Adna,
303,Adnan,
304,Adolf,"Adalwolf,Adi,Adolphus,Alf"
305,Adolfito,"Adolfo,Fito"
306,Adolfo,
307,Adolph,Dolph
308,Adolphe,
309,Adolphus,"Adalwolf,Adolf"
310,Adomas,
311,Adonai,
312,Adone,
313,Adonijah,
314,Adoniram,
315,Adonis,
316,'Adoniyah,
317,Adora,Adoración
318,Adoración,
319,Adorinda,
320,Adorján,Adrián
321,Adrastea,Adrasteia
322,Adrasteia,Adrastea
323,Adrastos,
324,Adria,"Adriana,Adrianna,Adrianne"
325,Adrià,
326,Adriaan,"Ad,Arie,Aris,Arjan"
327,Adrián,Adorján
328,Adrian,Adi
329,Adriana,"Adria,Adrianna,Adrianne,Adriene"
330,Adrianna,"Adria,Adriana,Adrianne"
331,Adrianne,"Adria,Adriana,Adrianna"
332,Adriano,
333,Adrianus,
334,Adriel,
335,Adrien,
336,Adriene,Adriana
337,Adrienn,
338,Adrienne,
339,Adrijan,"Jadran,Jadranko"
340,Adrijana,
341,Adsila,
342,Adva,
343,Adwoa,Adjoa
344,Adzo,
345,Æbbe,
346,Áed,"Áedán,Áedh,Aodh"
347,Áedán,"Áed,Áedh"
348,Áedh,"Áed,Áedán"
349,Aegidius,
350,Aegle,Aigle
351,Ælfflæd,
352,Ælfgar,
353,Ælfgifu,
354,Ælfheah,
355,Ælfnoð,
356,Ælfræd,
357,Ælfric,
358,Ælfsige,
359,Ælfstan,
360,Ælfswiþ,
361,Ælfþryð,Ælfthryth
362,Ælfthryth,Ælfþryð
363,Ælfweard,
364,Ælfwig,
365,Ælfwine,
366,Aelia,
367,Aeliana,
368,Aelianus,
369,Aelita,
370,Aelius,
371,Aella,
372,Ælred,"Æðelræd,Æþelræd,Æthelred"
373,Aemilia,
374,Aemiliana,
375,Aemilianus,
376,Aemilius,
377,Aeneas,
378,Aengus,
379,Aenor,
380,Aeolus,Aiolos
381,Aeron,Aerona
382,Aerona,Aeron
383,Aeronwen,
384,Aeronwy,"Aeron,Aerona"
385,Æsc,
386,Aeschylus,Aischylos
387,Aesculapius,"Asclepius,Asklepios"
388,Aeson,
389,Aesop,Aisopos
390,Æþelbeorht,Æðelberht
391,Æðelberht,Æþelbeorht
392,Æðelflæd,Æthelflæd
393,Æthelflæd,Æðelflæd
394,Æðelfrið,
395,Æðelmær,
396,Æthelnoð,
397,Æðelræd,"Ælred,Æþelræd,Æthelred"
398,Æþelræd,"Ælred,Æðelræd,Æthelred"
399,Æthelred,"Ælred,Æðelræd,Æþelræd"
400,Æðelric,Æthelric
401,Æthelric,Æðelric
402,Æðelstan,Æthelstan
403,Æthelstan,Æðelstan
404,Æðelþryð,Æthelthryth
405,Æthelthryth,Æðelþryð
406,Æthelweard,
407,Æðelwine,Æthelwine
408,Æthelwine,Æðelwine
409,Aetius,
410,Afaf,
411,Afan,
412,Afanasiy,"Afanasy,Afonya"
413,Afanasy,"Afanasiy,Afonya"
414,Afërdita,
415,Affan,
416,Affraic,
417,Afi,
418,Afia,"Afua,Efua"
419,Afif,
420,Afina,
421,Afolabi,
422,Afon,
423,Afonso,
424,Afonya,"Afanasiy,Afanasy"
425,Afra,
426,África,
427,Àfrica,
428,Africa,Aifric
429,Africanus,
430,Afrim,
431,Afrodita,
432,Afrodite,
433,Afroditi,
434,Afsoon,"Afsoun,Afsun"
435,Afsoun,"Afsoon,Afsun"
436,Afsun,"Afsoon,Afsoun"
437,Afua,"Afia,Efua"
438,Afzal,
439,Agafon,
440,Agafya,Agata
441,Agam,
442,Agamemnon,
443,Agape,
444,Agapetos,Agapetus
445,Agapetus,Agapetos
446,Agapi,
447,Agapios,
448,Agapito,
449,Agapitos,
450,Agar,
451,Ágata,Águeda
452,Agáta,
453,Agata,"Agatka,Jaga,Jagienka,Jagna"
454,Agatha,"Agathe,Aggie"
455,Agathangelos,
456,Agathe,Agatha
457,Agathi,
458,Agathinos,"Agathinus,Agathon"
459,Agathinus,"Agathinos,Agathon"
460,Agathon,"Agathinos,Agathinus"
461,Agatino,
462,Agatka,"Agata,Jagienka,Jagna"
463,Agaue,
464,Agda,Agata
465,Åge,Aage
466,Age,Agnes
467,Aggie,"Agatha,Agnes,Annice,Annis"
468,Aghavni,
469,Aghi,Egill
470,Aghil,
471,Ági,"Ágnes,Ágota"
472,Agi,Egino
473,Agilmar,
474,Agilulf,
475,Agim,
476,Aglaé,
477,Aglaea,Aglaia
478,Aglaia,Aglaea
479,Aglaya,
480,Agmundr,
481,Agnar,
482,Agnarr,
483,Agnė,
484,Agner,
485,Ágnes,Ági
486,Agnès,
487,Agnes,"Age,Aggie,Agneta,Agnete,Agnetha,Agnethe,Annice,Annis,Hagne,Nancy,Nes,Neske"
488,Agneša,
489,Agnesa,
490,Agnese,Agnija
491,Agnessa,
492,Agneta,"Agnes,Agnetha"
493,Agnete,"Agnes,Agnethe"
494,Agnetha,"Agnes,Agneta"
495,Agnethe,"Agnes,Agnete"
496,Agneza,Janja
497,Agni,
498,Agnia,Agnessa
499,Agnieszka,"Jaga,Jagienka,Jagna"
500,Agnija,"Agnese,Janja"
501,Agniya,Agnessa
502,Agostina,
503,Agostinho,
504,Agostino,Dino
505,Ágoston,
506,Ågot,
507,Ágota,Ági
508,Agrafena,Grusha
509,Agrippa,
510,Agrippina,
511,Agrona,
512,Águeda,Ágata
513,Agung,
514,Agurne,
515,Agurtzane,
516,Agus,Bagus
517,Agustí,
518,Agustín,
519,Agustina,
520,Ah,
521,Ahab,Achab
522,Aharon,
523,Ahava,
524,Ahenobarbus,
525,Ahinoam,
526,Əhməd,
527,Ahmad,"Ahmed,Akhmad,Hameed,Hamid"
528,Ahmadu,
529,Ahmed,"Ahmad,Ahmet,Hameed,Hamid"
530,Ahmet,Ahmed
531,Ahmose,"Amosis,Iahmesu"
532,Ahoth,
533,Ahriman,Angra Mainyu
534,Ahtahkakoop,
535,Ahti,
536,Ahura Mazda,"Hormizd,Hormoz,Urmazd"
537,Ahuva,Ahava
538,Ai,
539,Aias,Ajax
540,Aibek,Aybek
541,Aíbinn,Oébfinn
542,Aïcha,"'Aisha,A'isha,Aisha,Aishah,Ayesha,Ayishah"
543,Aïchatou,"Aïssa,Aïssatou"
544,Aida,Ayda
545,Aidan,"Aden,Aiden,Aodh,Aodhagán,Aodhán,Aydan,Ayden"
546,Aiday,
547,Aideen,"Éadaoin,Étaín"
548,Aiden,"Aden,Aidan,Aydan,Ayden"
549,Aífe,Aoife
550,Aifric,
551,Aigerim,Aygerim
552,Aigle,Aegle
553,Aignéis,
554,Aigul,
555,Aikaterine,
556,Aikaterini,"Ekaterini,Kaiti,Keti"
557,Aike,
558,Aiko,
559,Aila,"Aili,Laila"
560,Ailbe,Ailbhe
561,Ailbhe,"Ailbe,Alby,Elva"
562,Áile,Láilá
563,Ailean,"Alan,Allan"
564,Aileas,Ailis
565,Aileen,"Alene,Aline,Èibhlin,Eibhlín,Eileen,Ilene"
566,Ailen,"Ayelen,Aylen"
567,Aili,"Aila,Laila"
568,Ailill,
569,Ailín,
570,Ailís,
571,Ailis,Aileas
572,Ailpean,
573,Ailsa,
574,Aiman,Ayman
575,Aimé,
576,Aimée,
577,Aimee,"Ami,Amie,Amy"
578,Aimi,Manami
579,Aimilios,Emilios
580,Aimo,
581,Ain,
582,Aina,"Aino,Anaïs,Anna,Ayna"
583,Ainara,Enara
584,Ainārs,
585,Aindrea,
586,Aindréas,Aindriú
587,Aindriú,Aindréas
588,Áine,
589,Aineias,
590,Aingeal,
591,Aingeru,
592,Ainhoa,
593,Aino,Aina
594,Ainoa,
595,Ainslee,"Ainsley,Ansley"
596,Ainsley,Ansley
597,Ainslie,"Ainsley,Ansley"
598,Aintza,Aintzane
599,Aintzane,Aintza
600,Ainur,
601,Ainura,Aynura
602,Aiolos,Aeolus
603,Aira,Airi
604,Airi,Aira
605,Aischylos,Aeschylus
606,'Aisha,"Aïcha,A'isha,Aisha,Aishah,Ayesha,Ayishah"
607,A'isha,"Aïcha,'Aisha,Aisha,Aishah,Ayesha,Ayishah"
608,Aisha,"Aïcha,'Aisha,A'isha,Aishah,Ayesha,Ayishah,Iesha"
609,Aishah,"Aïcha,'Aisha,A'isha,Aisha,Ayesha,Ayishah"
610,Aishat,
611,Aishath,
612,Aishatu,
613,Aishwarya,
614,Aislin,"Aisling,Aislinn,Ashling"
615,Aisling,"Aislinn,Ashling"
616,Aislinn,"Aisling,Ashling"
617,Aisopos,Aesop
618,Aïssa,"Aïchatou,Aïssatou"
619,Aïssatou,"Aïchatou,Aïssa"
620,Aistė,
621,Aisyah,
622,Aitana,
623,Aithan,
624,Aithbhreac,
625,Aithne,"Eithne,Ena,Enya,Ethna"
626,Aitor,
627,Aivar,Ivar
628,Aivars,
629,Aiza,Aizah
630,Aizah,Aiza
631,Ajax,Aias
632,Ajay,
633,Ajda,Ayda
634,Ajdin,
635,Ajeet,Ajit
636,Ajit,Ajeet
637,Ajith,
638,Ajla,
639,Ajna,
640,Ajnur,
641,Ajša,
642,Akachi,
643,Akaki,
644,Akakios,Acacius
645,Akamu,
646,Akane,
647,Akanksha,
648,Akantha,Acantha
649,Akari,
650,Akash,
651,Akbar,
652,Åke,
653,Akeem,
654,Akemi,
655,Akhenaten,Akhenaton
656,Akhenaton,Akhenaten
657,Akhil,
658,Akhila,
659,Akhmad,Ahmad
660,Áki,
661,Aki,"Joakim,Jooa,Kim,Kimi"
662,Akiba,"Akiva,Yaakov,Yakov"
663,Akihiko,
664,Akihito,
665,Akiko,
666,Akilah,Aqila
667,Akilina,Akulina
668,Akim,
669,Akimitsu,
670,Akinyi,
671,Akio,
672,Akira,
673,Akiva,"Akiba,Yaakov,Yakov"
674,Akmad,
675,Akoni,Anakoni
676,Ákos,
677,Akosua,
678,Akpan,
679,Akpofure,
680,Akram,"Kareem,Karim"
681,Aksana,"Ksenia,Kseniya"
682,Aksel,Axel
683,Akseli,
684,Akshay,
685,Aksinia,Aksinya
686,Aksinya,Aksinia
687,Aku,"Aukusti,Kusti"
688,Akua,Ekua
689,Akuchi,
690,Akulina,
691,Akvilė,
692,Al,"Alan,Albert,Albie,Alec,Alex,Alexander,Allan,Allen,Allyn,Bert,Bertie,Lex,Sandy,Xander,Zander"
693,Ala,
694,Ala ad-Din,Ala al-Din
695,Ala al-Din,Ala ad-Din
696,Alaattin,
697,Alaba,
698,Aladdin,
699,Alaia,
700,Alain,Alan
701,Alaina,"Alana,Alanna,Alannah,Alayna,Allyn,Lana"
702,Alaiya,
703,Alajos,
704,Al-Amir,
705,Alan,"Ailean,Al,Alain,Allan,Allen,Allyn"
706,Alana,"Alaina,Alanna,Alannah,Alayna,Allyn,Lana"
707,Alani,
708,Alanis,"Alaina,Alana,Alanna,Alannah,Alayna,Allyn,Lana"
709,Alanna,"Alaina,Alana,Alannah,Alayna,Allyn,Lana"
710,Alannah,"Alaina,Alana,Alanna,Alayna,Allyn,Lana"
711,Alannis,"Alaina,Alana,Alanna,Alannah,Alayna,Allyn,Lana"
712,Alaois,
713,Alard,Adalhard
714,Alaric,
715,Alasdair,"Alastair,Alistair,Alister,Ally"
716,Alassane,"Alhassan,Lassana"
717,Alastair,"Alasdair,Alistair,Alister,Ally"
718,Alastar,
719,Alastríona,
720,Alaya,
721,Alayah,
722,Alayna,"Alaina,Alana,Alanna,Alannah,Allyn,Lana"
723,Alazne,
724,Alba,Elba
725,Albaer,"Baer,Bèr"
726,Alban,
727,Albano,
728,Albanus,
729,Albena,
730,Alberic,Alberich
731,Alberich,Alberic
732,Alberico,
733,Albert,"Adalberht,Adalbert,Adelbert,Al,Albertus,Albie,Albrecht,Alik,Aubert,Bert,Bertie"
734,Alberta,"Albertina,Bertie,Bertina,Birdie,Tina"
735,Albertas,
736,Alberte,Albertine
737,Albertina,"Alberta,Tina"
738,Albertine,Alberte
739,Alberto,"Adalberto,Berto"
740,Albertus,"Adalberht,Adalbert,Albert"
741,Albie,"Al,Albert,Bert,Bertie"
742,Albin,"Aubin,Bine"
743,Albína,
744,Albina,"Alina,Alya"
745,Albine,
746,Albino,
747,Albinus,
748,Alboin,"Alfwin,Alwin"
749,Alborz,
750,Albrecht,"Adalbert,Adelbert,Albert"
751,Albus,
752,Alby,Ailbhe
753,Alcaeus,Alkaios
754,Alcibiades,Alkibiades
755,Alcide,
756,Alcides,Alkeides
757,Alcippe,Alkippe
758,Alcmene,Alkmene
759,Alcyone,"Alkyone,Halcyone,Halkyone"
760,Alda,"Adela,Adelina,Aldina,Dina"
761,Aldara,
762,Aldebrand,
763,Aldegar,
764,Aldegonda,
765,Aldegund,
766,Alden,
767,Aldéric,
768,Aldert,"Abbe,Abe,Adde,Ale,Alke,Alle,Alte,Atse"
769,Aldhard,
770,Aldin,
771,Aldina,"Alda,Dina"
772,Aldith,Aldus
773,Aldo,
774,Aldona,
775,Aldous,
776,Aldreda,"Etheldred,Etheldreda"
777,Aldric,
778,Aldus,Aldith
779,Aldwin,
780,Ale,"Aldert,Alejandra,Alejandro,Aleksanteri,Aleksi,Alessandro,Álex,Alex,Samppa,Sandro,Santeri,Santtu"
781,Alea,"Aaliyah,Aleah"
782,Aleah,Aaliyah
783,Alease,"Alecia,Alesha,Alesia,Alice,Alicia,Alisha,Alissa,Alyce,Alycia,Alys,Alysa,Alyse,Alysha,Alysia,Alyssa,Alyssia,Lesia,Lisha,Lyssa"
784,Alec,"Al,Alex,Alexander,Lex,Sandy,Xander,Zander"
785,Alecia,"Alease,Alesha,Alesia,Alice,Alicia,Alisha,Alissa,Alyce,Alycia,Alys,Alysa,Alyse,Alysha,Alysia,Alyssa,Alyssia,Lesia,Lisha,Lyssa"
786,Aleĉjo,Aleksandro
787,Alecto,Alekto
788,Aled,
789,Aleesha,"Alease,Alecia,Alesha,Alesia,Alice,Alicia,Alisha,Alissa,Alyce,Alycia,Alys,Alysa,Alyse,Alysha,Alysia,Alyssa,Alyssia,Lesia,Lisha,Lyssa"
790,Aleid,
791,Aleida,
792,Áleifr,
793,Aleix,
794,Aleixo,
795,Alejandra,Ale
796,Alejandro,"Ale,Álex"
797,Alejo,Alexis
798,Aleka,Alexandra
799,Alekos,"Alex,Alexandros"
800,Aleks,"Aleksander,Aleksandr,Aleksandra,Aleksandrina,Aleksei,Aleksej,Aleksey,Aleš,Alesya,Alex,Alexandr,Alexandra,Alexei,Alexey,Alexsandr,Alik,Alya,Alyosha,Asya,Lyosha,Olek,Oleksandra,Sandi,Sanya,Saša,Sasha,Sashenka,Sashok,Sašo,Shura"
801,Aleksandar,"Aca,Ace,Aco,Sandi,Saša,Sasho,Saško,Sašo,Skender"
802,Aleksandër,Skënder
803,Aleksander,"Aleks,Aleš,Alex,Alexander,Olek,Sander,Sandi,Saša,Sašo"
804,Aleksandr,"Aleks,Alex,Alexandr,Alexsandr,Alik,Sanya,Sasha,Sashok,Shura"
805,Aleksandra,"Aleks,Aleksandrina,Alesya,Alexandra,Alja,Alya,Asya,Lesya,Ola,Oleksandra,Olesya,Sanda,Santa,Sanya,Saša,Sasha,Sashenka,Sashka,Saška,Shura"
806,Aleksandras,
807,Aleksandre,Sandro
808,Aleksandrina,"Aleks,Aleksandra,Alesya,Alexandra,Alya,Asya,Sanya,Sasha,Sashenka,Sashka,Shura"
809,Aleksandro,Aleĉjo
810,Aleksandrs,
811,Aleksandru,
812,Aleksanteri,"Ale,Samppa,Santeri,Santtu"
813,Aleksei,"Aleks,Aleksey,Alex,Alexei,Alexey,Alyosha,Lyosha"
814,Aleksej,"Aleks,Aleš"
815,Aleksejs,
816,Aleksey,"Aleks,Aleksei,Alex,Alexei,Alexey,Alyosha,Lyosha"
817,Aleksi,Ale
818,Aleksy,
819,Alekto,Alecto
820,Alem,
821,Alemayehu,
822,Alen,
823,Alena,"Alenka,Ela,Elena,Ella,Helena,Helene,Helenka,Hella,Lena,Leni,Lenka,Magda,Magdaléna,Magdalena,Magdalene,Majda"
824,Alene,"Adaline,Adalyn,Adalynn,Addie,Addilyn,Addy,Adela,Adeline,Adella,Adelyn,Adelynn,Aileen,Aline,Eileen,Ilene"
825,Alenka,"Alena,Ela,Helena,Magda,Magdalena,Majda"
826,Aleš,"Aleks,Aleksander,Aleksej,Alex,Alexander,Alexandr,Alexej,Sandi,Saša,Sašo"
827,Alesander,
